,h,train_score,test_score
0,1,0.3333333333333333,0.3333333333333333
1,2,0.3333333333333333,0.3333333333333333
2,3,0.3333333333333333,0.3333333333333333
3,4,0.3333333333333333,0.3333333333333333
4,5,0.4,0.3333333333333333
5,6,0.4666666666666667,0.3333333333333333
6,7,0.5333333333333333,0.3333333333333333
7,8,0.5333333333333333,0.4
8,9,0.8666666666666667,0.4666666666666667
9,10,0.6,0.6
10,11,0.8,0.5333333333333333
11,12,0.8666666666666667,0.5333333333333333
12,13,0.9333333333333333,0.6666666666666666
13,14,0.9333333333333333,0.6666666666666666
14,15,0.9333333333333333,0.6666666666666666
15,16,0.8666666666666667,0.6
16,17,0.9333333333333333,0.6
17,18,1.0,0.5333333333333333
18,19,1.0,0.5333333333333333
19,20,1.0,0.5333333333333333
20,21,1.0,0.5333333333333333
21,22,1.0,0.5333333333333333
22,23,1.0,0.4666666666666667
23,24,1.0,0.4666666666666667
