,random_state,num_features,h,eig_var,eig_var_scaled,eig_pos_sum,eig_neg_sum,eig_pos_sum_scaled,eig_neg_sum_scaled,train_score,train_score_scaled,loss_value,loss_value_scaled,distance_to_psd,distance_to_scaled_psd,m1,m2,m3,m4,m5
259,67845264,60,13,0.013009271555555554,1.3959223284404674,1.1640618645840537,-0.005061864584054125,12.928136493209594,-0.059284034193199275,0.9333333333333333,0.9333333333333333,-0.1393242854280639,-0.1539311773425296,0.9999549985124142,0.9999450474143952,0.009486883051753494,1.0043674414012544,-0.004348449801560028,-0.004367441401254639,0.009486989784517142
260,67845264,60,14,0.03649251182222217,1.590433143530539,1.8072505618858978,-0.004050561885898579,12.87804612725712,-0.03078168956714908,0.9333333333333333,0.9333333333333333,-0.12924352942769624,-0.14540582225260074,0.99998926454027,0.9999864096462165,0.004633659915244238,1.0022463187033595,-0.0022412840650450514,-0.002246318703359905,0.004633672351411662
261,67845264,60,15,0.09001104799999984,1.817371287497739,2.652644458291159,-0.008144458291159201,13.098194683890766,-0.043835157518313905,0.8666666666666667,0.8666666666666667,-0.11776376090632677,-0.13745413266559342,0.9999817404942267,0.9999751234782941,0.006043068602713328,1.003079772467823,-0.0030703165913180406,-0.0030797724678234837,0.006043096188763732
262,67845264,60,16,0.2033419896,2.1497393074643845,3.6674325790496294,-0.012232579049628751,13.252472396571582,-0.0493285029803015,0.8666666666666667,0.8666666666666667,-0.10297385723065842,-0.12440106636860547,0.9999810144754521,0.9999722650242358,0.006162036079549608,1.0033466237277382,-0.0033354611941628864,-0.003346623727738222,0.006162065327129644
263,67845264,60,17,0.41605634933333435,2.435394563446947,4.877151436921423,-0.020151436921420185,13.418346027954371,-0.06427904230843257,0.8666666666666667,0.8666666666666667,-0.09007944633495052,-0.11542736314112206,0.9999740139814577,0.999957332584204,0.0072091165763747645,1.0041489472763898,-0.004131804636794354,-0.004148947276388753,0.007209163410890416
264,67845264,60,18,0.7807658659555554,2.796926840488713,6.2071629531886865,-0.03176295318868833,13.517701641677856,-0.08307821071551236,0.8666666666666667,0.8666666666666667,-0.07864212107722889,-0.10567444586465102,0.9999646094770522,0.9999360746810259,0.008413072768412251,1.0051434649073232,-0.0051171450513267675,-0.005143464907323953,0.008413147205161354
265,67845264,60,19,1.3443832432888934,3.2404212144701723,7.56829630553357,-0.0416963055335632,13.713569494066775,-0.0952506270041834,0.8666666666666667,0.8666666666666667,-0.06727219958822839,-0.09629357343892735,0.9999636917401409,0.9999255946700578,0.008521455358588672,1.0055398593699107,-0.005509338409897732,-0.005539859369909807,0.008521532709445738
266,67845264,60,20,2.14826621528889,3.6429466420335843,8.9233463541279,-0.05374635412790065,13.833042381737354,-0.11343576947537136,0.8666666666666667,0.8666666666666667,-0.05626155452765734,-0.08791359272619015,0.9999620073857681,0.9999070758270666,0.00871686784486535,1.0060596142022078,-0.006023116440284516,-0.006059614202207614,0.008716950640194282
267,67845264,60,21,3.2008441744888896,4.045518103332107,10.21274802485084,-0.05344802485083744,13.985851280482636,-0.1081476216995331,0.8,0.8,-0.046196468066592236,-0.08068969340749371,0.9999739793178049,0.999920456804836,0.007213923156919849,1.0052609948373257,-0.005233461622746544,-0.0052609948373251525,0.007213970085178234
268,67845264,60,22,4.469723023822232,4.526493694901854,11.384639470408478,-0.05793947040846331,14.1439667161884,-0.11821736998039258,0.8,0.8,-0.03806974707707678,-0.07398387484892419,0.99997797130827,0.9999167330852677,0.006637537058024631,1.0051153001676107,-0.00508926703907159,-0.005115300167609563,0.006637573612391024
269,67845264,60,23,5.889870469955548,5.0124758761752615,12.358599987328468,-0.0586999873284741,14.27163088700572,-0.12627223721669498,0.8,0.8,-0.029978917031809073,-0.06669886890773799,0.9999852136608658,0.9999264908875377,0.005438056604384378,1.0047723954933352,-0.00474972791324749,-0.00477239549333524,0.005438076706733149
270,67845264,60,24,7.3629838955555496,5.492715327656813,13.142283884644993,-0.054283884645000044,14.336543069855905,-0.1275878459753006,0.8,0.8,-0.02381663330757087,-0.061671572118441466,0.9999901175277949,0.9999332407161112,0.004445767284376024,1.0041476073231197,-0.004130475731727537,-0.004147607323120421,0.004445778268209634
271,67845264,60,25,8.787273913333332,5.903154827148711,13.742888819378223,-0.06138881937822492,14.396403025583929,-0.1680816254248084,0.8,0.8,-0.017935520032558796,-0.056578398830782924,0.9999918244389832,0.9999163898190264,0.004043643801582668,1.00448699480161,-0.004466951612943513,-0.0044869948016098326,0.004043652066372161
272,67845264,60,26,10.073850805155555,6.199897979428216,14.18067207771913,-0.048372077719133336,14.374303762860782,-0.1632355517925749,0.8,0.8,-0.01340088955423209,-0.053612971157706614,0.9999955210994763,0.9999242217198486,0.002992955226304099,1.003422802920907,-0.003411127304405848,-0.003422802920906954,0.002992958577596907
273,67845264,60,27,11.170950949955573,6.700815492000504,14.497821962357213,-0.04492196235720087,14.556921576338434,-0.1965795567944556,0.7333333333333333,0.7333333333333333,-0.009660040525422792,-0.04963087550412249,0.9999972672380594,0.9999215286713911,0.002337844394651539,1.0031081625388134,-0.0030985317983513827,-0.0031081625388123374,0.0023378459918462335
274,67845264,60,28,12.054240539288902,7.048705125729514,14.707313285404423,-0.03771328540441685,14.64609862144392,-0.22205490559691782,0.7333333333333333,0.7333333333333333,-0.0069325014969294114,-0.048415713005808464,0.9999984523319272,0.9999157342685915,0.0017593560613070798,1.0025708461992435,-0.0025642538968584845,-0.0025708461992431176,0.0017593567420322795
275,67845264,60,29,12.716695013155563,7.627010440992519,14.831409261783705,-0.02660926178369984,14.826094605864565,-0.22473303249088525,0.7333333333333333,0.7333333333333333,-0.004422285447833681,-0.04224239794003497,0.9999993032582035,0.9999260006847949,0.001180458854690673,1.0017973401723568,-0.0017941155364287794,-0.0017973401723562514,0.001180459060309485
276,16839670,60,2,1.9555555555555556e-09,0.1955555555555555,0.0002,-0.0001,2.0,-1.0,0.5333333333333333,0.5333333333333333,-0.20000000000000004,-0.2,0.816496580927726,0.8164965809277261,0.5773502691896258,2.0,-0.5,-1.0,0.6058108930553725
