,iteration,loss_value,score_value
0,1,-0.23739961925516398,0.7666666666666666
1,2,-0.21738198960105903,0.7666666666666666
2,3,-0.22343527128056379,0.8333333333333334
3,4,-0.21788954511318798,0.8666666666666667
4,5,-0.22716927748905208,0.8666666666666667
5,6,-0.2358661280273036,0.8666666666666667
6,7,-0.25306071675327824,0.8666666666666667
7,8,-0.24802690185878065,0.8333333333333334
8,9,-0.2456078433557427,0.8666666666666667
9,10,-0.2714156987488397,0.8333333333333334
10,11,-0.2538166821496769,0.8
11,12,-0.26618800382136787,0.8
12,13,-0.27324147725086556,0.8333333333333334
13,14,-0.2746360884987529,0.8
14,15,-0.2759891787228873,0.7666666666666666
